shelter_name,region,count,long_term,adopted,species,image_url,care_reg_no,careAddr,lat,lon
김천시 동물보호센터,경상북도,49,49.0,17.0,114.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2024/05/202405300905724.png,347506000000000.0,경상북도 김천시 구성면 남김천대로 3296-22  하강리 44(김천시 유기동물보호센터),36.07761662,128.0994797
나주유기동물보호센터,전라남도,158,158.0,21.0,114.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2024/05/202405281905862.jpg,346483000000000.0,전라남도 나주시 산포면 내기3길 71-43 [*미고시] ,35.04820352,126.7812421
남부여동물보호소,충청남도,62,62.0,20.0,114.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2024/05/202405311005411.jpg,344457000000000.0,충청남도 부여군 임천면 위덕로47번길 36-12  (점리),36.21588848,126.8909218
남산동물병원,서울특별시,25,25.0,6.0,200.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2024/05/202405201305979.jpg,,서울특별시 용산구 후암로 51 (후암동) 1층,37.55043611,126.9769997
남양주시동물보호센터,경기도,156,156.0,17.0,114.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2024/05/202405311605526.jpg,,경기도 남양주시 경강로163번길 32-27 (이패동) ,37.60878682,127.1915234
남해군동물보호센터,경상남도,21,21.0,1.0,114.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2024/05/202406030906957.jpg,348543000000000.0,경상남도 남해군 이동면 남해대로 2449  동물보호센터,34.81761674,127.9231895
내품애센터,서울특별시,2,2.0,0.0,67.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2024/05/202405221105450[1].jpg,,서울특별시 서대문구 모래내로 333 (홍은동) ,37.58040897,126.9337666
노원반려동물문화센터,서울특별시,2,2.0,0.0,72.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2024/04/202405131805640.png,311310000000000.0,"서울특별시 노원구 수락산로 258 (상계동, 호성빌딩) 1층",37.67134898,127.0499565
논산시 동물보호센터,충청남도,80,80.0,29.0,114.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2024/05/202406031706258.jpg,,충청남도 논산시 계백로665번길 100 (등화동) 논산시 동물보호센터,36.18566145,127.0585764
늘푸른동물병원,인천광역시,19,19.0,7.0,200.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2024/05/202405242305249.jpg,328354000000000.0,인천광역시 부평구 후정동로 60 (삼산동) ,37.52269251,126.7385116
다나동물병원,,0,,,,,329362000000000.0,,0.0,0.0
단양군동물보호센터,충청북도,2,2.0,1.0,114.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2024/05/202405200905998.jpg,343448000000000.0,충청북도 단양군 매포읍 단양산업단지1로 201  828번지,0.0,0.0
담양군 동물보호센터,전라남도,33,33.0,6.0,114.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2024/05/20240530160510.jpg,346485000000000.0,전라남도 담양군 용면 시암골로 280-57 (용면) :용면 두장리 21번지,35.35856617,127.0015733
당진시동물보호소,충청남도,38,38.0,20.0,114.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2024/05/202405311605997.jpg,,충청남도 당진시 고대면 연동로 30-6 (고대면) ,36.93404053,126.596264
